esquema,categorias
moodle_aula101,12
moodle_aula102,19
moodle_aula103,7
moodle_aula104,7
moodle_aula105,7
moodle_aula106,7
moodle_aula107,6
moodle_aula108,6
moodle_aula109,6
moodle_aula110,11
