esquema,categorias
moodle_aula101,10,11,12
moodle_aula102,14,17,19
moodle_aula103,6
moodle_aula104,6
moodle_aula105,6
moodle_aula106,6
moodle_aula107,5
moodle_aula108,5
moodle_aula109,5
moodle_aula10n23,19,6
